effective_date,announcement_date,out_symbol,out_name,in_symbol,in_name,source_url
2025-06-16,2025-05-30,688295,中复神鹰,688608,恒玄科技,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20250530_10780448.shtml
2025-09-15,2025-08-29,688561,奇安信-U,688183,生益电子,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20250829_10790116.shtml
2025-12-15,2025-11-28,688363,华熙生物,688220,翱捷科技,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20251128_10800153.shtml
2025-12-15,2025-11-28,688563,航材股份,688702,盛科通信,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20251128_10800153.shtml
2026-03-16,2026-02-27,688180,君实生物-U,688027,国盾量子,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20260227_10810439.shtml
2026-03-16,2026-02-27,688475,萤石网络,688361,中科飞测,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20260227_10810439.shtml
2026-03-16,2026-02-27,688819,天能股份,688568,中科星图,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20260227_10810439.shtml
2026-06-15,2026-05-29,688114,华大智造,688347,华虹公司,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20260529_10820183.shtml
2026-06-15,2026-05-29,688234,天岳先进,688498,源杰科技,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20260529_10820183.shtml
2026-06-15,2026-05-29,688278,特宝生物,688795,摩尔线程,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20260529_10820183.shtml
2026-06-15,2026-05-29,688349,三一重能,688802,沐曦股份,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20260529_10820183.shtml
2026-09-14,2026-08-28,688065,凯赛生物,688002,睿创微纳,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20260828_10830242.shtml
2026-09-14,2026-08-28,688297,中无人机,688629,华丰科技,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20260828_10830242.shtml
2026-09-14,2026-08-28,688538,和辉光电,688729,屹唐股份,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20260828_10830242.shtml
2026-09-14,2026-08-28,688608,恒玄科技,688775,影石创新,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20260828_10830242.shtml
2026-09-14,2026-08-28,688617,惠泰医疗,688820,盛合晶微,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20260828_10830242.shtml
