symbol,effective_start,effective_end,source_index,universe_mode,source_scope,source_identity,source_artifact_id,source_artifact_sha256,source_member_file_sha256,source_reference
600535,2019-04-22,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
600721,2019-04-22,2019-06-16,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
600867,2019-04-22,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
601607,2019-04-22,2020-12-13,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
603127,2019-04-22,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
603259,2019-04-22,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
002020,2019-12-16,2021-12-12,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
002399,2019-12-16,2023-12-10,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
002653,2019-12-16,2022-12-11,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
002675,2019-12-16,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
